Observatoire des territoires - ANCT; ; 
Référentiel géographique : EPCI / EPT (2025); ; 
Code;Libellé;Evolution de la part des déplacements domicile-travail en transports en commun 2016-2022
200038958;CC de la Pieve de l'Ornano et du Taravo;-0.1
200038990;CC de Saint-Méen Montauban;1
200039022;CA Vitré Communauté;0.6
200039055;CC Ouche et Montagne;0
200039063;CC Forêts, Seine et Suzon;-0.2
200039204;CC de Lacq-Orthez;0.4
200039519;CC du Quercy Blanc;-0.6
200039642;CC Le Tonnerrois en Bourgogne;2
200039709;CC du Serein;1.2
200039758;CC Avallon, Vézelay, Morvan;0.8
200039808;CC des Gorges de l'Ardèche;-0.3
200039824;CC Ardèche des Sources et Volcans;0.4
200039832;CC Pays des Vans en Cévennes;0.8
200039857;CA du Pays de Grasse;-0.2
200039865;Metz Métropole;2.9
200039907;CC du Sud Messin;-1.3
200039915;CA Cannes Pays de Lérins;1.4
200039931;CC Alpes d'Azur;1.1
200039949;CC Rives de Moselle;-0.1
200040038;CC Saône Doubs Bresse;1.1
200040095;CC Isle Vern Salembre en Périgord;-0.1
200040111;CC Coeur de Chartreuse;-0.6
200040137;CC des Lacs de Champagne;1.7
200040178;CC de l'Outre-Forêt;0.4
200040202;CC Provence Verdon;0.1
200040210;CC Lacs et Gorges du Verdon;-1
200040244;CA du Bocage Bressuirais;-0.2
200040251;CC Bassée-Montois;0
200040277;CA Agglo du Pays de Dreux;-0.6
200040293;CC du Clunisois;0.4
200040350;CC Bugey Sud;0.8
200040384;CC Isle Double Landais;-0.2
200040392;CA Le Grand Périgueux;1
200040400;CC du Périgord Ribéracois;0.3
200040418;CC du Pays de Serres en Quercy;-0.3
200040426;CC du Val de l'Oise;0.1
200040442;CA Luberon Monts de Vaucluse;-0.4
200040459;CA Montélimar Agglomération;0.6
200040475;LBN Communauté;-0.2
200040491;CC Porte de Dromardèche;0
200040509;CC du Crestois et de Pays de Saillans Coeur de Drôme;1.2
200040558;CC Écueillé-Valençay;0.4
200040566;CA de l'Ouest Rhodanien;0.1
200040574;CC Beaujolais Pierres Dorées;0.7
200040590;CA Villefranche Beaujolais Saône;0.8
200040624;CC Pays d'Apt-Luberon;0.8
200040657;CC de la Matheysine;1.2
200040681;CC Enclave des Papes - Pays de Grignan;0.2
200040715;Grenoble-Alpes-Métropole;0.1
200040764;CC du Sud Corse;-0.3
200040772;CC du Perche et Haut Vendômois;0.3
200040798;CC Val Vanoise;-0.5
200040814;CC Briance Sud Haute Vienne;1.4
200040830;CC du Pays de Fénelon;-0.7
200040889;CC de Portes Sud Périgord;1.5
200040905;CC Carmausin-Ségala;0.4
200040947;CA Coeur de Flandre;-0.3
200040954;CC des Hauts de Flandre;0.2
200041010;CC Coeur de Savoie;-1.6
200041051;CC Vallée de la Dordogne et Forêt Bessède;1.8
200041150;CC Terrassonnais Haut Périgord Noir;0.3
200041168;CC de la Vallée de l'Homme;0.1
200041283;CC de la Plaine du Rhin;0.1
200041317;CA du Niortais;0.5
200041325;CC du Pays Rhénan;0
200041333;CC de Parthenay-Gâtine;0.9
200041366;CC Rhône Crussol;1.1
200041416;CC Airvaudais-Val du Thouet;0
200041440;CC de Domme- Villefranche du Périgord;-0.2
200041465;CC Val Eyrieux;0.5
200041499;CC Aunis Atlantique;0.3
200041507;CA La Riviéra du Levant;-0.2
200041515;CC du Bassin de Pont-à-Mousson;-0.2
200041523;CC de la Haute Saintonge;-0.1
200041556;CC Portes de la Creuse en Marche;0.2
200041572;CC Dronne et Belle;0
200041614;CC Aunis Sud;-0.7
200041622;CC Ardennes Thiérache;0.7
200041630;Ardenne Métropole;0.5
200041689;Vals de Saintonge Communauté;0
200041721;CC de la Haute Comté;-0.3
200041762;CA Rochefort Océan;1.7
200041788;CA du Pays Nord Martinique;-0.5
200041853;CC du Pays de Montbozon et du Chanois;-0.5
200041861;CC du Triangle Vert;-1
200041879;CC Terres de Saône;0.4
200041887;CC du Val Marnaysien;0.7
200041960;CC Pévèle-Carembault;0
200041994;CC Haut Val de Sèvre;0.6
200042000;CC Bruyères-Vallons des Vosges;0.1
200042174;CA Lorient Agglomération;0.5
200042182;CC du Mont des Avaloirs;0.3
200042190;CA de la Porte du Hainaut;-0.2
200042372;CC des Coteaux Arrats Gimone;0.1
200042414;CC Bresse Revermont 71;-0.3
200042463;CC de la Montagne Noire;0.1
200042497;CC Dombes Saône Vallée;0.5
200042604;CC de Granville, Terre et Mer;0.1
200042620;CC de la Région de Suippes;-0.1
200042646;CC Grand Orb Communauté de Communes en Languedoc;0.6
200042653;CC Sud-Hérault;1.1
200042703;CC de l'Argonne Champenoise;-0.2
200042729;CC de la Baie du Cotentin;-0.5
200042901;CC Drôme Sud Provence;-0.6
200042935;CA Haut-Bugey Agglomération;-0.3
200042943;CC du Cap Corse;0.2
200042992;CC Perthois-Bocage et Der;0.5
200043016;CC Val de Charente;-0.4
200043065;CC du Val d'Amboise;0.6
200043081;CC Chinon, Vienne et Loire;-1.1
200043123;CC Auray Quiberon Terre Atlantique;0.2
200043156;CC du Pays Rethélois;0.1
200043172;CA du Bassin de Brive;-0.1
200043263;CC Coeur de l'Avesnois;0.7
200043321;CC du Pays de Mormal;-0.7
200043354;CC de Villedieu Intercom;-0.1
200043396;CA Maubeuge Val de Sambre;-0.2
200043404;CC du Sud Avesnois;-0.4
200043438;CC de la Moivre à la Coole;-0.1
200043495;CA du Pays de Laon;-0.1
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;0.3
200043628;CC des Vallées du Clain;-0.7
200043693;CC Terre Lorraine du Longuyonnais;-0.2
200043776;CC Pyrénées audoises;-0.5
200043974;CC du Sud Gironde;0.1
200043982;CC du Bazadais;0.6
200043990;CC Vallons de Haute-Bretagne Communauté;0
200044014;CC Creuse Grand Sud;-0.7
200044030;CC des 7 Vallées;-0.7
200044048;CC Osartis Marquion;-0.9
200044253;CC du Bassin de Joinville en Champagne;0.2
200044394;CC du Réolais en Sud Gironde;0.9
200044469;CC du Pays de Mirepoix;0.3
200044618;CA Douaisis Agglo;0.6
200044691;CA du Nord Grande Terre;-1
200046977;Métropole de Lyon;0.8
200048551;CC du Pays de Craon;0.4
200049187;CA du Grand Verdun;1
200049211;CC Conflent-Canigó;-0.2
200049484;CC Berry Grand Sud;-0.5
200050532;CC de Petite-Terre;N/A - résultat non disponible
200054807;Métropole d'Aix-Marseille-Provence;0.5
200055481;CC Beauce Val de Loire;-0.3
200055655;CA Roissy Pays de France;-0.7
200055887;CC Mayenne Communauté;-0.1
200056232;CA Communauté Paris-Saclay;0.9
200056380;CA Plaine Vallée;2.9
200057859;CA Coeur d'Essonne Agglomération;0.5
200057867;Plaine Commune;0.1
200057875;Est Ensemble;-3.3
200057941;#ParisEstMarne&Bois;1.7
200057958;CA Paris - Vallée de la Marne;0.7
200057966;Vallée Sud-Grand Paris;0.9
200057974;Grand Paris Seine Ouest;0.2
200057982;Paris Ouest La Défense;2.2
200057990;Boucle Nord de Seine;1
200058006;Grand Paris Sud Est Avenir;1.4
200058014;Grand-Orly Seine Bièvre;0.9
200058097;Paris Terres d'Envol;-0.2
200058360;CC Entre Beauce et Perche;-0.5
200058477;CA Val d'Yerres Val de Seine;-1.4
200058485;CA Val Parisis;1.2
200058519;CA Saint Germain Boucles de Seine;4.5
200058782;CA de Saint Quentin en Yvelines;0
200058790;Grand Paris Grand Est;1.4
200059228;CA Grand Paris Sud Seine Essonne Sénart;-1.1
200059392;CC Bièvre Isère;-0.2
200059400;CC Porte Océane du Limousin;-0.3
200059871;CC du Centre-Ouest;N/A - résultat non disponible
200059889;CU Grand Paris Seine et Oise;1.9
200060010;CA Mauges Communauté;0
200060457;CA de Dembeni / Mamoudzou;N/A - résultat non disponible
200060465;CA du Grand Nord de Mayotte;N/A - résultat non disponible
200060473;CC du Sud;N/A - résultat non disponible
200065563;CC Normandie-Cabourg-Pays d'Auge;0.8
200065589;CC Val ès Dunes;-0.1
200065597;CU Caen la Mer;-0.1
200065647;CA Pays de Montbéliard Agglomération;-0.8
200065787;CC de Pont-Audemer / Val de Risle;0.2
200065886;Loire Forez Agglomération (LFA);0.1
200065894;CC de Forez-Est;-0.5
200065928;CA Lannion-Trégor Communauté;0.2
200066009;CA Mulhouse Alsace Agglomération;-0.3
200066017;CC Lieuvin Pays d'Auge;-1.1
200066025;CC Alsace Rhin Brisach;-1.1
200066033;CC Sud Alsace Largue;-1
200066041;CC Sundgau;0.2
200066058;CA Saint-Louis Agglomération;0.1
200066108;CC des Portes de Meuse;0
200066116;CC Argonne-Meuse;-0.3
200066124;CA Gaillac-Graulhet;0.4
200066132;CC du Pays de Stenay et du Val Dunois;0.5
200066140;CC de l'Aire à l'Argonne;0
200066157;CC de Commercy - Void - Vaucouleurs;0.5
200066165;CC Val de Meuse - Voie Sacrée;0.3
200066173;CC de Damvillers Spincourt;-0.9
200066223;CC Arize Lèze;-0.8
200066231;CC des Portes d'Ariège Pyrénées;0.3
200066280;CC du Pithiverais;-0.4
200066322;CC Terres des Confluences;0.2
200066330;CC Terres du Haut Berry;-0.5
200066348;CC du Minervois au Caroux;-0.2
200066355;CA Sète Agglopôle Méditerranée;0.4
200066363;CC de la Haute Ariège;-1.1
200066371;CC Causses et Vallée de la Dordogne;0.1
200066389;CA Saint-Lô Agglo;0.3
200066405;CC Roumois Seine;0.1
200066413;CC Intercom Bernay Terres de Normandie;-0.5
200066462;CC Interco Normandie Sud Eure;-0.2
200066512;CC Élan Limousin Avenir Nature;-0.1
200066520;CC Ouest Limousin;0.9
200066553;CC du Haut-Languedoc;-1.7
200066561;CC Sidobre Vals et Plateaux;-0.1
200066587;CC des Monts du Lyonnais;0.4
200066603;CC du Pays de Lubersac-Pompadour;-0.3
200066637;CC Hautes Terres;-0.4
200066645;CC Vézère-Monédières-Millesources;0.6
200066652;CC Grand Sud Tarn-et-Garonne;-0.9
200066660;CC de Saint-Flour;0.2
200066678;CC de la Châtaigneraie Cantalienne;0.3
200066710;CC Cingal-Suisse Normande;0.7
200066728;CC Vallées de l'Orne et de l'Odon;0.4
200066744;CC Haute-Corrèze Communauté;0.1
200066751;CC Xaintrie Val'Dordogne;0.4
200066769;CC Midi Corrézien;0.2
200066777;Ploërmel Communauté;0
200066785;CC de l'Oust à Brocéliande;0.1
200066793;CA du Grand Annecy;1.2
200066801;CC Isigny-Omaha Intercom;0.4
200066819;CC du Volvestre;-0.4
200066827;CC du Pays de Honfleur-Beuzeville;0
200066835;CC de Sézanne-Sud Ouest Marnais;-1.1
200066850;CC des Paysages de la Champagne;0.2
200066868;CC Presqu'île de Crozon-Aulne maritime;0.5
200066876;CA de Châlons-en-Champagne;-0.4
200066884;CC Quercy Vert-Aveyron;-0.4
200066892;CC de Vendeuvre-Soulaines;-0.4
200066918;CA Alès Agglomération;-0.4
200066926;CA Grand Auch Coeur de Gascogne;0.3
200066975;CC Senlis Sud Oise;2.2
200067023;CC Coutances Mer et Bocage;-0.1
200067031;CC Côte Ouest Centre Manche;-0.5
200067049;CC Spelunca-Liamone;0.4
200067064;CC Decazeville Communauté;0.3
200067072;CC Haut-Léon Communauté;1
200067080;CC Chablis Villages et Terroirs;0.2
200067106;CA du Pays Basque;0.9
200067114;CA de l'Auxerrois;0.3
200067122;CC du Pays de Lafrançaise;0
200067130;CC de Puisaye-Forterre;0.5
200067155;CC Saint Affricain, Roquefort, Sept Vallons;-0.9
200067163;CC Monts, Rance et Rougier;0.7
200067171;CC Aubrac Carladez Viadène;0.3
200067189;CC Creuse Sud Ouest;0.1
200067197;CC Monts d'Arrée Communauté;1
200067205;CA du Cotentin;0.2
200067213;CU du Grand Reims;-0.3
200067239;CC des Luys en Béarn;-0.2
200067247;CC Pleyben-Châteaulin-Porzay;0.4
200067254;CA Pau Béarn Pyrénées;0.2
200067262;CC du Haut Béarn;0.2
200067288;CC du Béarn des Gaves;-0.3
200067296;CC du Nord Est Béarn;-0.6
200067304;CC Serein et Armance;0.3
200067320;CC Serre-Ponçon Val d'Avance;-0.9
200067346;CA Pornic Agglo Pays de Retz;0
200067361;CC Grand-Figeac;0
200067379;CC Côtes de Champagne et Val de Saulx;-0.1
200067429;CC Haut Nivernais - Val d'Yonne;1.1
200067437;CA Provence-Alpes-Agglomération;0.9
200067445;CC Buëch-Dévoluy;0.2
200067452;CC du Guillestrois et du Queyras;1
200067460;CC Loudéac Communauté - Bretagne Centre;0.3
200067478;CC Comtal Lot et Truyère;-0.3
200067486;CC Bouzonvillois-Trois Frontières;-1.1
200067502;CA Saint-Avold Synergie;0
200067544;CC Creuse Confluence;-0.2
200067551;CA Thonon Agglomération;2.1
200067593;CC Marche et Combraille en Aquitaine;0
200067627;CC Billom Communauté;0
200067635;CA Clisson Sèvre et Maine Agglo;0.8
200067643;CC Meurthe Mortagne Moselle;-2.1
200067650;CC Houve - Pays Boulageois;0.4
200067668;CC de la Cléry, du Betz et de l'Ouanne;0.9
200067676;CC Canaux et Forêts en Gâtinais;0.1
200067684;CA Epernay, Coteaux et Plaine de Champagne;0.2
200067692;CC Tannay-Brinon-Corbigny;-0.1
200067700;CC Sud Nivernais;-0.8
200067742;CC Serre-Ponçon;0.8
200067759;CC Vallées et Plateau d'Ardenne;0.2
200067767;CC du Royans-Vercors;2.2
200067783;CC de Hanau-La Petite Pierre;-0.7
200067791;CA L'Agglo Foix-Varilhes;0.5
200067817;CC Saône-Beaujolais;0.2
200067825;CA Gap-Tallard-Durance;-1.4
200067841;CC de l'Alsace Bossue;0.7
200067866;CC Sèvre et Loire;0.5
200067874;CA de Haguenau;0.4
200067882;CC Bazois Loire Morvan;0.4
200067890;CC Morvan Sommets et Grands Lacs;0.2
200067908;CC Amognes Coeur du Nivernais;0.2
200067916;CC Coeur de Loire;1
200067924;CC du Canton d'Erstein;-0.2
200067932;CA Golfe du Morbihan - Vannes Agglomération;0.8
200067940;CC Couserans-Pyrénées;-0.3
200067957;CC Haut Chemin - Pays de Pange;0.1
200067965;CA de la Région de Compiègne et de la Basse Automne;0.6
200067973;CC Thelloise;-1.1
200067981;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;0.1
200067999;CA du Beauvaisis;1.5
200068005;CC de l'Oise Picarde;0.6
200068047;CA Creil Sud Oise;0.9
200068070;CC Loue-Lison;0.6
200068088;CC Les Bertranges;0.1
200068096;CC Champsaur-Valgaudemar;0.9
200068104;CA de la Provence Verte;-0.2
200068112;CC du Pays de Saverne;0.7
200068120;CA Quimper Bretagne Occidentale;-0.2
200068146;CC Sarrebourg Moselle Sud;-0.1
200068229;CC des Baronnies en Drôme Provençale;0.3
200068278;CC Berry Loire Puisaye;0.5
200068294;CC des Deux Vallées Vertes;-2.8
200068369;CC de Mirecourt Dompaire;0
200068377;CC de la Porte des Vosges Méridionales;1.1
200068435;CC Coeur du Perche;0.5
200068443;CC Andaine - Passais;0.7
200068450;Terres d'Argentan Interco;-0.6
200068468;CC des Pays de L'Aigle;0
200068484;CC des Causses à l'Aubrac;-1.4
200068500;CA de Cambrai;-0.4
200068534;CC Terroir de Caux;0
200068542;CC Les Balcons du Dauphiné;-0.3
200068559;CC de l'Ouest Vosgien;0
200068567;CC Les Vals du Dauphiné;-0.6
200068625;CC Alpes-Provence-Verdon "Sources de lumière";0.4
200068641;CA Le Muretain Agglo;-0.1
200068658;CA de Chaumont;-0.9
200068666;CA du Grand Saint-Dizier Der et Vallées;0.2
200068674;CA Grand Lac;0.7
200068682;CC Terre d'Eau;0.4
200068757;CA d'Epinal;-0.1
200068765;CC du Sisteronais-Buëch;0.1
200068773;CC des Vosges côté Sud Ouest;-0.2
200068781;CA Valence Romans Agglo;0.8
200068799;CC Intercom de la Vire au Noireau;-0.5
200068807;CC du Bassin Auterivain Haut-Garonnais;-1.2
200068815;CC Coeur de Garonne;-0.1
200068831;Pays Ségali Communauté;0.6
200068856;CC des Hauts du Perche;-1.1
200068864;CC de la Mossig et du Vignoble;0.6
200068872;CC Éguzon - Argenton - Vallée de la Creuse;-0.7
200068880;CC Champagne Boischauts;0.4
200068914;CC La Rochefoucauld Porte du Périgord;0.2
200068922;CC du Confluent et des Coteaux de Prayssas;-0.7
200068930;CC Fumel Vallée du Lot;-0.3
200068948;CC Albret Communauté;-0.1
200068955;CC Anjou Loir et Sarthe;0.4
200068963;CC Maine Coeur de Sarthe;0.5
200068989;CA Dinan Agglomération;0.1
200068997;CA Arlysère;-0.1
200069003;CC du Barséquanais en Champagne;0.1
200069029;CA des Deux Baies en Montreuillois;0
200069037;CA du Pays de Saint-Omer;0.4
200069052;CA Grand Belfort;-1.4
200069060;CC des Vosges du Sud;-0.7
200069086;CC Leff Armor Communauté;0
200069094;CC Isle et Crempse en Périgord;-0.5
200069102;CC Randon - Margeride;-0.5
200069110;CA du Grand Chambéry;-0.5
200069128;CC Mont Lozère;-0.5
200069136;CC des Cévennes au Mont Lozère;0.9
200069144;CC des Hautes Terres de l'Aubrac;0.7
200069151;CC Gorges Causses Cévennes;0.5
200069169;CC Dômes Sancy Artense;-0.5
200069177;CC Mond'Arverne Communauté;-0.2
200069185;CC des Terres d'Apcher-Margeride-Aubrac;0.2
200069193;CC de la Dombes;-0.6
200069227;CC Pays Fort Sancerrois Val de Loire;0.7
200069235;CC du Haut Pays du Montreuillois;0.4
200069250;CA Troyes Champagne Métropole;0.5
200069268;CC Aubrac Lot Causses Tarn;-0.2
200069300;CA Tarbes-Lourdes-Pyrénées;0
200069383;Ouest Aveyron Communauté;0.4
200069391;CA Lamballe Terre et Mer;0.4
200069409;CA Saint-Brieuc Armor Agglomération;0.4
200069417;CC Pays d'Orthe et Arrigans;-0.4
200069425;CA Mont-Saint-Michel-Normandie;0.2
200069433;CC de Vezouze en Piémont;-0.8
200069441;CC du Pays de Bitche;-0.8
200069458;CC des Vallées d'Auge et du Merlerault;0.7
200069482;CC des Campagnes de l'Artois;-0.1
200069516;CC Seulles Terre et Mer;1.3
200069524;CC Pré-Bocage Intercom;0.3
200069532;CA Lisieux Normandie;-0.9
200069540;CC Norge et Tille;-0.8
200069565;CC des Lacs et Montagnes du Haut-Doubs;-0.7
200069581;CC Convergence Garonne;2
200069599;CC Rurales de l'Entre-Deux-Mers;0.3
200069615;CC Bresse Haute Seille;0.2
200069623;CC Champagnole Nozeroy Jura;-0.2
200069631;CC Terres de Chalosse;-0.1
200069649;CC Chalosse Tursan;0.4
200069656;CC Coeur Haute Lande;1.4
200069664;CC Meuse Rognon;-0.1
200069672;CC du Ternois;-0.4
200069698;CC Mâconnais - Tournugeois;-0.2
200069722;CC Interrégionale Aumale - Blangy-sur-Bresle;-0.3
200069730;CC des Quatre Rivières en Bray;-0.2
200069748;CC Val de Gâtine;0.2
200069755;CC Mellois en Poitou;0
200069763;CC du Haut Poitou;-0.1
200069821;CA Fécamp Caux Littoral Agglomération;-0.2
200069839;CC de la Côte d'Albâtre;-1.3
200069847;CC Plateau de Caux;0.6
200069854;CU du Grand Poitiers;0.8
200069912;CC des Forêts du Perche;-1.4
200069953;CC des Portes Euréliennes d'Ile de France;-1.5
200069961;CC du Grand Châteaudun;-0.6
200069995;CC Médoc Coeur de Presqu'île;0.2
200070035;CC du Civraisien en Poitou;-0.2
200070043;CC Vienne et Gartempe;0
200070068;CC Bray-Eawy;0.5
200070092;CA du Libournais;1.5
200070100;CC du Val de Sully;0
200070118;CC Val de Saône Centre;-0.5
200070126;CC Seine et Aube;0.6
200070142;CC Lyons Andelle;0
200070159;CC Coeur de Beauce;-0.3
200070167;CC Terres de Perche;1.1
200070183;CC des Terres du Val de Loire;0.5
200070233;CA Terres de Montaigu;0.8
200070282;CC Lavalette Tude Dronne;0.2
200070290;CC Coeur du Pays Haut;-0.3
200070308;CA Mâconnais Beaujolais Agglomération;0.6
200070316;CC Entre Arroux, Loire et Somme;-0.3
200070324;CC du Territoire de Lunéville à Baccarat;-1.6
200070332;CC des Savoir-Faire;-1.1
200070340;CC Haute Maurienne Vanoise;-0.4
200070365;CC Corbières Salanque Méditerranée;-0.6
200070373;CC Loir-Lucé-Bercé;0.1
200070407;CA Agglo Pays d'Issoire;-0.5
200070431;CC Saint-Marcellin Vercors Isère Communauté;-0.1
200070449;CC Inter-Caux-Vexin;0.2
200070464;CC Coeur de Maurienne Arvan;-0.6
200070506;CC Pays de Nexon Monts de Chalus;-0.1
200070514;CA du Grand Cognac;0.4
200070530;CC du Grand Autunois Morvan;0.2
200070548;CC Brionnais Sud Bourgogne;-1
200070555;CC de la Veyle;-0.5
200070563;CC Terres Touloises;0
200070571;CC Coeur de Berry;-0.2
200070589;CC de Seille et Grand Couronné;0.5
200070647;CA Bergeracoise;0.6
200070662;CC Bretagne Porte de Loire Communauté;1
200070670;CC du Pays de Dol et de la Baie du Mont Saint-Michel;-0.9
200070688;CC Couesnon Marches de Bretagne;0.1
200070712;CC Thiers Dore et Montagne;0.4
200070720;CC Médoc Atlantique;0.5
200070738;CC Mad et Moselle;-0.2
200070746;CA Sarreguemines Confluences;0
200070753;CA Riom Limagne et Volcans;0
200070761;CC Ambert Livradois Forez;-0.3
200070779;CC Brie des Rivières et Châteaux;-0.7
200070787;CC du Plateau de Lannemezan;0.4
200070795;CC du Pays de Trie et du Magnoac;1.2
200070803;CC des Coteaux du Val d'Arros;0.4
200070811;CC Pyrénées Vallées des Gaves;0.1
200070829;CC Neste Barousse;-0.8
200070845;CC Orne Lorraine Confluences;0.5
200070852;CC Usses et Rhône;0.1
200070894;CC de Gevrey-Chambertin et de Nuits-Saint-Georges;-0.4
200070902;CC Auxonne Pontailler Val de Saône;-0.2
200070910;CC Tille et Venelle;-2
200070928;CC Terre de Picardie;-1.1
200070936;CC Ponthieu-Marquenterre;-0.6
200070944;CC du Vimeu;0.5
200070951;CC du Territoire Nord Picardie;-0.6
